round,you,peer,judged_ai,willingness
20,Multiple grey triangles and squares forms a sitting rabbit under black background.,"A rabbit figure formed by different grey geometric polygons with standing triangle ears, triangle tail and a square head, sitting on the ground under a dark-black background",0,5.0
0,A man is sitting with head slightly lower down.,A geometric composition of triangles and squares forms a staircase-like pattern.,1,1.0
39, Multiple grey triangles and squares forms a sitting rabbit with standing ears under a black background.,Multiple gray geometric shapes form a rabbit sitting in a black background and looking back.,0,3.0
39,Polygons (triangles and a square) form a shape like a abstract gray cat sitting in a black background looking back.,"A geometric rabbit, formed by gray shapes, sits upright under a black background.",0,5.0
38,Polygons (triangles and a square) form a shape like a abstract gray deer sitting in a black background looking back., Multiple grey triangles and squares forms a sitting rabbit with standing ears under the black background.,0,3.0
0,1、rabbit 2、rhinoceros,It's a bit like a windmill,1,1.0
37,Polygons (triangles and a square) form a shape like a abstract gray horse sitting in a black background looking back.,"A rabbit formed by different grey geometric polygons with standing triangle ears, triangle tail and a square head, sitting on the ground and looking back under a dark-black background",1,3.0
21,"This image shows a figure made up of shapes, possibly resembling a horse that is looking around.","The sky is dark, and a rabbit made up of different shapes sits alone.",0,5.0
1,the gray section resembles a rabbit,This is a monochrome figure using geometric design to show an abstract animal considering to be a deer or a rabbit.,1,1.0
2,This is a monochrome figure using geometric design to show an abstract animal considering to be a rabbit.,a sitting person,0,1.0
20,"This image shows a figure made up of shapes, possibly resembling a rabbit that is looking around.",A gray rabbit figure composed of triangles and a square against a black background.,1,5.0
19,"This image shows a figure made up of shapes, possibly resembling a deer with long-standing ears and a square head.",A rabbit composed of gray shapes and squares is sitting under black background and looking around.,0,4.0
1,Items that slid down the hillside,a rabbit,0,4.0
0,It's a bit like a windmill,1、rabbit 2、rhinoceros,0,2.0
21,A rabbit with long ears composed of geometric shapes is sitting on a black background,A grey rabbit composed of gray blocks is sitting on the ground under black background.,1,4.0
2,This is a bit like a rabbit?,a rabbit,0,4.0
39,A rabbit composed of geometric shapes is sitting under black background and looking back,"The sky was dark, and a rabbit made up of various shapes sat there all alone.",1,4.0
20,"A rabbit figure formed by different grey geometric polygons with standing triangle ears, triangle tail and a square head, sitting on the ground under a dark-black background, looking back",A RABBIT composed of geometric shapes sits on a black background with its ears standing up.,1,5.0
38,Polygons (triangles and a square) form a shape like a abstract gray rabbit sitting in a black background looking back.,A rabbit composed of geometric shapes is sitting under black background and looking back.,1,4.0
37,"A grey rabbit comprised of geometric shapes sits, facing left, on a dark background. ",Polygons (triangles and a square) form a shape like a abstract gray rabbit sitting in a black background looking back.,1,4.0
19,Multiple polygons form a sitting rabbit against a black background,"A rabbit figure formed by different grey geometric polygons with standing triangle ears, triangle tail and a square head, sitting on the ground under a dark-black background",1,4.0
19,A gray rabbit with two triangular ears and a square head against a black background.,A grey rabbit figure formed by triangles and a square.,0,4.0
20,"A gray rabbit composed of geometric shapes, including two triangular ears and a square head, against a black background.","a gray rabbit , which is composed of multiple grey triangles and squares ,sits under the black background",0,5.0
21,"A gray rabbit pieced together from geometric shapes like triangles, squares, and quadrilaterals against a black background.","a gray rabbit with two triangular ears and a square head, which is composed of multiple grey triangles and squares ,sits under the black background",0,5.0
38,"A rabbit with two triangular ears and a square head, composed of multiple gray triangles and squares, is looking back at its raised tail.",The picture composes polygons to mimic a grey rabbit's body posture.,0,4.0
39,"A gray rabbit with perked ears, composed of geometric shapes like triangles and squares, lies on a black background looking backward.","A gray rabbit composed of gray geometric shapes is sitting under the black background , looking back.",0,5.0
37,"A gray figure pieced together from geometric shapes like triangles, squares, and quadrilaterals, resembling a rabbit, against a black background.",Gray polygons form an abstract figure resembling a rabbit sitting and looking back.,0,5.0
1,A pregnant woman wearing a large bow is lying down and stroking her belly.,There are geometric shapes forming an abstract animal figure.,1,4.0
0,There is a windmill on a mountain peak.,A woman with twin tails is sitting on the floor with her knees up.,0,4.0
2,A dinosaur looking backward over its shoulder.,"A gray rabbit made up of different shapes is contemplating, with a black background.",0,4.0
2,The image includes several grey blocks and looks like a rabbit sitting on the ground.,This figure is a geometric design with black and white to show a deer or a rabbit.,1,4.0
19,Multiple grey triangles and squares forms a sitting rabbit under black background.,Polygons (triangles and a square) form a shape like a gray rabbit sitting in a black background.,1,4.0
1,"Picture of several grey blocks, shaped like a mountain and a shining sun in the upper left corner.",The image looks like a rabbit sitting on the ground.,1,4.0
38,A rabbit with ears and a head is sitting in a black background.,Polygons (triangles and a square) form a shape like a abstract gray rabbit sitting in a black background looking back.,1,4.0
21,Multiple grey triangles and squares forms a sitting rabbit under black background.,Multiple grey shapes forms a sitting rabbit under dark-black background.,1,4.0
39,A rabbit with ears and a head is sitting in a black background.,"A rabbit formed by different grey geometric polygons with standing triangle ears, triangle tail and a square head, sitting on the ground and looking back under a dark-black background",1,4.0
20,Multiple grey triangles and squares forms a sitting rabbit under black background.,A rabbit composed of geometric shapes with long standing ears and a square head looks back.,1,4.0
0,A mountain with shining sun in the upper left corner.,"The grey blocks, including 5 triangles, 1 square and 1 parallelogram, together form the shape of a sitting rabbit.",1,4.0
37,A rabbit with ears and a head is sitting in a black background.,"a gray rabbit composed of gray geometric shapes is sitting under the black background , facing left.",1,4.0
20,A grey rabbit composed of gray blocks is sitting on the ground under black background.,a grey rabbit figure,0,3.0
37,A rabbit with long ears composed of gray geometric shapes is sitting on the ground under black background.,Some geometric shapes form a gray rabbit sitting under the black background.,0,5.0
1,A windmill is located on a mountain's summit.,A dancer is dancing rising his arms.,1,1.0
39,A rabbit with long ears composed of gray geometric shapes is sitting on the ground under black background.,An animal(maybe a rabbit) made up of various gray geometric shapes is sitting on a black background and looking back.,1,4.0
38,A rabbit with long ears composed of gray geometric shapes is sitting on the ground under black background.,"The sky was dark, and a rabbit made up of various shapes was very lonely.",1,2.0
2,There is a windmill on the mountain's top. ,Some polygons put on a black background consists of a shape like a rabbit.,0,4.0
21,A grey rabbit composed of gray blocks is sitting on the ground under black background.,A rabbit with long ears composed of geometric shapes is sitting on a black background,0,5.0
19,A grey rabbit composed of gray blocks is sitting on the ground under black background.,The picture composes polygons to mimic a rabbit's body posture.,0,4.0
0,A woman with twin tails is sitting on the floor with her knees up.,There is a windmill on a mountain peak.,0,3.0
21,An animal(maybe a rabbit) made up of various gray geometric shapes is sitting on a black background and looking back.,A rabbit composed of geometric shapes with long standing ears and a square head sits in a black background and looks back.,0,4.0
20,An animal(maybe a rabbit) made up of various gray geometric shapes is sitting on a black background and looking back.,"The sky was dark, and a rabbit sat alone, contemplating its life.",1,3.0
1,"The image is composed of triangles, squares, and parallelograms.",kangaroo,1,2.0
37,An animal(maybe a rabbit) made up of various gray geometric shapes is sitting on a black background and looking back.,A rabbit composed of geometric shapes is sitting under black background and looking back.,0,4.0
2,"This image is made up of triangles, squares, and parallelograms.",kangaroo is reasonable,1,1.0
0,"The image is composed of triangles, squares, and parallelograms.",A figure made of triangles and a square.,0,3.0
19,An animal(maybe a rabbit) made up of various gray geometric shapes is sitting on a black background and looking back.,This geometric image looks like a grey rabbit sitting on the ground and looking back.,0,4.0
39,An animal(maybe a rabbit) made up of various gray geometric shapes is sitting on a black background and looking back.,A rabbit with long ears composed of gray geometric shapes is sitting on the ground under black background.,0,4.0
38,An animal(maybe a rabbit) made up of various gray geometric shapes is sitting on a black background and looking back.,Multiple triangles and squares form a rabbit sitting in a black background and looking back.,0,3.0
37,A rabbit composed of geometric shapes is sitting under black background and looking back.,An animal(maybe a rabbit) made up of various gray geometric shapes is sitting on a black background and looking back.,0,3.0
0,A people is dancing.,a dancing girl,0,2.0
38,A rabbit composed of geometric shapes is sitting under black background and looking back.,Polygons (triangles and a square) form a shape like a abstract gray rabbit sitting in a black background looking back.,1,2.0
39, A rabbit composed of geometric shapes is sitting under black background and looking back.,"Grey polygons mimic an abstract animal posture like a rabbit with standing ears, looking backward.",0,2.0
1,A dancer is dancing rising his arms.,A windmill is located on a mountain's summit.,0,1.0
20,A rabbit composed of gray shapes and squares is sitting under black background and looking around.,Geometric shapes form a rabbit sitting and looking back against a dark background.,0,4.0
2, A dancing people.,The geometric shapes form an abstract figure of a woman wearing a large bow.,1,3.0
21,A rabbit composed of gray geometric shapes is sitting under black background and looking around.,The picture composes polygons to mimic a grey rabbit's body posture.,1,2.0
19,A rabbit composed of gray shapes and squares is sitting under black background and looking around.,"This image shows a figure made up of shapes, possibly resembling a deer with long-standing ears and a square head.",1,1.0
38, A gray rabbit composed of multiple geometric shapes sits under a black background and looks back.,Gray geometric shapes form an abstract figure resembling a rabbit sitting and looking back.,0,5.0
21,A rabbit composed of geometric shapes with long standing ears and a square head sits in a black background and looks back.,An animal(maybe a rabbit) made up of various gray geometric shapes is sitting on a black background and looking back.,1,5.0
1,A rabbit with two upright ears sitting in a black background.,Some polygons consists of a shape like a deer.,0,5.0
2,A deer with two upright ears sitting in a black background.,A human figure with bent knees and raised arms is composed of triangles and a square.,1,4.0
39, A gray rabbit composed of multiple geometric shapes sits under a black background and looks back.,A gray rabbit figure made of geometric shapes is sitting on a dark background.,0,4.0
37, A rabbit composed of multiple geometric shapes sits under a black background and looks back.,Multiple triangles and squares form a grey rabbit sitting in a black background and looking back.,0,4.0
20,A rabbit composed of geometric shapes with long standing ears and a square head sits in a black background and looks back.,This geometric image looks like a grey rabbit sitting on a black background and looking back.,0,4.0
19, A rabbit composed of geometric shapes with long standing ears and a square head sits in a black background and looks back., Some gray shapes mimic an abstract animal like a rabbit.,0,5.0
0,A tangram-style figure of a rabbit with two upright ears sitting in a black background.,a rabbit,0,5.0
39,A rabbit composed of polygons sits on a black background with its ears standing up., Multiple grey triangles and squares forms a sitting rabbit under black background.,1,4.0
38,Some polygons mimic a grey rabbit's body posture.,A RABBIT composed of geometric shapes sits on a black background with its ears standing up and looking back.,0,3.0
0,This image looks like a rabbit sitting on the ground.,"The picture shows some abstract shapes that combines into a shape, which looks like a curled rabbit.",1,3.0
1,Some abstract shapes form a rabbit.,"The image depicts a figure formed using triangles, squares, and parallelograms.",1,4.0
21,Multiple grey shapes forms a sitting rabbit under dark-black background.,Multiple grey triangles and squares forms a sitting rabbit under black background.,0,4.0
37,A rabbit sits alone under dark-black background.,The picture composes polygons to mimic a grey rabbit's body posture.,1,3.0
20,A rabbit composed of geometric shapes with long standing ears and a square head looks back.,Multiple grey triangles and squares forms a sitting rabbit under black background.,1,2.0
19, Some gray shapes mimic an abstract animal like a rabbit., A rabbit composed of geometric shapes with long standing ears and a square head sits in a black background and looks back.,0,3.0
2,"Some triangles, squares and parallelograms form a rabbit.",This rabbit is composed of various triangles and quadrilaterals.,1,3.0
38, Multiple grey triangles and squares forms a sitting rabbit under black background.,"A rabbit formed by different grey geometric polygons with standing triangle ears, triangle tail and a square head, sitting on the ground and looking back under a dark-black background",0,4.0
0,dog or rabbit or kangaroo,many triangles and one rectangle,0,4.0
21, Multiple grey triangles and squares forms a sitting rabbit under black background.,A RABBIT composed of geometric shapes sits on a black background with its ears standing up.,0,4.0
37, Multiple grey triangles and squares forms a sitting rabbit under black background.,A grey rabbit made of geometric shapes sits on a dark background and looks back.,0,4.0
2,A geometric pattern consist of several triangles and a rectangle,The image features geometric shapes forming what appears to be a stylized rabbit.,0,4.0
1,like a dog or rabbit or kangaroo that is consist of many triangles and one rectangle,A geometric pattern of interlocking triangles and squares builds a tight formation.,0,4.0
20, Multiple grey triangles and squares forms a sitting rabbit under black background.,Grey triangles and quadrilaterals form a rabbit sitting on the groud under black background.,1,3.0
39, Multiple grey triangles and squares forms a sitting rabbit under black background.,A rabbit composed of polygons sits on a black background with its ears standing up.,0,4.0
19, Multiple grey triangles and squares forms a sitting rabbit under black background.,A geometric composition forms a sitting rabbit with long ears and a triangular body.,0,4.0
0,many triangles and one rectangle,dog or rabbit or kangaroo,1,1.0
1,kangaroo,"The image is composed of triangles, squares, and parallelograms.",1,1.0
2,kangaroo is reasonable,"This image is made up of triangles, squares, and parallelograms.",1,1.0
37,A RABBIT composed of geometric shapes sits on a black background with its ears standing up and looking back.,"Grey polygons mimic an abstract animal posture like a rabbit with standing ears, looking backward.",1,5.0
38,A RABBIT composed of geometric shapes sits on a black background with its ears standing up and looking back.,Some polygons mimic a grey rabbit's body posture.,1,5.0
39,A RABBIT composed of geometric shapes sits on a black background with its ears standing up and looking back.,The picture composes polygons to mimic a grey rabbit's body posture.,1,5.0
19,A RABBIT composed of geometric shapes sits on a black background with its ears standing up.,Some gray polygons mimic an abstract animal posture like a rabbit.,1,5.0
21,A RABBIT composed of geometric shapes sits on a black background with its ears standing up., Multiple grey triangles and squares forms a sitting rabbit under black background.,1,5.0
20,A RABBIT composed of geometric shapes sits on a black background with its ears standing up.,"A rabbit figure formed by different grey geometric polygons with standing triangle ears, triangle tail and a square head, sitting on the ground under a dark-black background, looking back",1,5.0
39,The picture composes polygons to mimic a grey rabbit's body posture.,A RABBIT composed of geometric shapes sits on a black background with its ears standing up and looking back.,0,5.0
20,The picture composes polygons to mimic a grey rabbit's body posture.,Polygons mimic an abstract animal posture like a rabbit with standing ears.,0,5.0
37,The picture composes polygons to mimic a grey rabbit's body posture.,A rabbit sits alone under dark-black background.,0,2.0
21,The picture composes polygons to mimic a grey rabbit's body posture.,A rabbit composed of gray geometric shapes is sitting under black background and looking around.,0,5.0
2,The picture shows a image that looks like a girl with ponytails sitting on the ground.,Geometric shapes form an abstract figure resembling a human.,0,3.0
0,"The picture shows some abstract shapes that combines into a shape, which looks like a curled rabbit.",This image looks like a rabbit sitting on the ground.,0,4.0
1,The image looks like a rabbit sitting on the ground.,"Picture of several grey blocks, shaped like a mountain and a shining sun in the upper left corner.",0,2.0
38,The picture composes polygons to mimic a grey rabbit's body posture.,"A rabbit with two triangular ears and a square head, composed of multiple gray triangles and squares, is looking back at its raised tail.",0,5.0
19,The picture composes polygons to mimic a rabbit's body posture.,A grey rabbit composed of gray blocks is sitting on the ground under black background.,0,4.0
38,"The sky was dark, and a rabbit made up of various shapes was very lonely.",A rabbit with long ears composed of gray geometric shapes is sitting on the ground under black background.,0,4.0
1,A sitting grey rabbit is composed of different shapes and its background is black.,A image composed of triangles and quadrilaterals.,0,2.0
37,"The sky is dark, and the rabbit is very lonely.", Multiple grey triangles and squares forms a sitting rabbit with standing ears under the black background.,0,4.0
20,"The sky was dark, and a rabbit sat alone, contemplating its life.",An animal(maybe a rabbit) made up of various gray geometric shapes is sitting on a black background and looking back.,0,4.0
39,"The sky was dark, and a rabbit made up of various shapes sat there all alone.",A rabbit composed of geometric shapes is sitting under black background and looking back,0,4.0
21,"The sky is dark, and a rabbit made up of different shapes sits alone.","This image shows a figure made up of shapes, possibly resembling a horse that is looking around.",0,2.0
2,"A gray rabbit made up of different shapes is contemplating, with a black background.",A dinosaur looking backward over its shoulder.,0,1.0
19,"The night was very dark, and a rabbit sat alone, pondering its life.",a grey rabbit figure,0,3.0
0,"The grey blocks, including 5 triangles, 1 square and 1 parallelogram, together form the shape of a sitting rabbit.",A mountain with shining sun in the upper left corner.,0,1.0
39,"Grey polygons mimic an abstract animal posture like a rabbit with standing ears, looking backward.", A rabbit composed of geometric shapes is sitting under black background and looking back.,1,5.0
19,Some gray polygons mimic an abstract animal posture like a rabbit.,A RABBIT composed of geometric shapes sits on a black background with its ears standing up.,1,5.0
1,Some polygons consists of a shape like a deer.,A rabbit with two upright ears sitting in a black background.,0,5.0
2,Some polygons put on a black background consists of a shape like a rabbit.,There is a windmill on the mountain's top. ,0,5.0
37,"Grey polygons mimic an abstract animal posture like a rabbit with standing ears, looking backward.",A RABBIT composed of geometric shapes sits on a black background with its ears standing up and looking back.,1,5.0
0,Some polygons consists of a shape like a deer.,"This is a figure with black background and white pattern of a geometric design, using triangles, squares and parallelograms to show a rabbit. ",0,5.0
21,Grey polygons mimic an abstract animal posture like a rabbit with standing ears.,"A black-and-white geometric composition forms a sitting rabbit with a square head and triangular ears, looking backward.",1,5.0
20,Polygons mimic an abstract animal posture like a rabbit with standing ears.,The picture composes polygons to mimic a grey rabbit's body posture.,0,5.0
38,"Grey polygons mimic an abstract animal posture like a rabbit with standing ears, looking backward.",A gray rabbit consisting of some geometric shapes is sitting under the black background.,0,5.0
0,a dancing girl,A people is dancing.,0,4.0
19,"a gray rabbit with standing ears , which is composed of multiple grey triangles and squares aiming to mimic a living creature's body posture ,sits under the black background","The image represents a gray geometric figure against a black background, resembling a rabbit.",1,4.0
37,"a gray rabbit composed of gray geometric shapes is sitting under the black background , facing left.",A rabbit with ears and a head is sitting in a black background.,0,5.0
2,a sitting person,This is a monochrome figure using geometric design to show an abstract animal considering to be a rabbit.,1,3.0
39,"A gray rabbit composed of gray geometric shapes is sitting under the black background , looking back.","A gray rabbit with perked ears, composed of geometric shapes like triangles and squares, lies on a black background looking backward.",0,4.0
1,a dancing people,This is a rabbit sitting on the ground.,0,5.0
20,"a gray rabbit , which is composed of multiple grey triangles and squares ,sits under the black background","A gray rabbit composed of geometric shapes, including two triangular ears and a square head, against a black background.",0,4.0
38,"a gray rabbit with ears and a head, composed of gray geometric shapes is sitting under the black background .",A gray geometric figure resembling a rabbit sits upright against a dark background.,1,4.0
21,"a gray rabbit with two triangular ears and a square head, which is composed of multiple grey triangles and squares ,sits under the black background","A gray rabbit pieced together from geometric shapes like triangles, squares, and quadrilaterals against a black background.",0,4.0
1,This is a rabbit sitting against the wall.,Geometric shapes forming a human-like figure.,1,1.0
20,Polygons (triangles and a square) form a shape like a gray rabbit sitting in a black background.,Geometric shapes form a rabbit figure sitting against a black background.,0,5.0
37,Polygons (triangles and a square) form a shape like a abstract gray rabbit sitting in a black background looking back.,"A grey rabbit comprised of geometric shapes sits, facing left, on a dark background. ",1,2.0
21,Polygons (triangles and a square) form a shape like a gray rabbit sitting in a black background.,An abstract gray rabbit composed of shapes sits against a black background.,0,5.0
38,Polygons (triangles and a square) form a shape like a abstract gray rabbit sitting in a black background looking back.,A rabbit with ears and a head is sitting in a black background.,1,2.0
2,Geometric shapes forming a figure like a rabbit sitting against the wall.,A grey sitting rabbit made of different shapes.,0,5.0
19,Polygons (triangles and a square) form a shape like a gray rabbit sitting in a black background.,Multiple grey triangles and squares forms a sitting rabbit under black background.,0,5.0
0,A rabbit is sitting against the wall.,This is a rabbit.,0,4.0
39,Polygons (triangles and a square) form a shape like a abstract gray rabbit sitting in a black background looking back.,"Abstract geometric shapes form a bird perched, seemingly in flight.",1,1.0
39,Multiple gray geometric shapes form a rabbit sitting in a black background and looking back., Multiple grey triangles and squares forms a sitting rabbit with standing ears under a black background.,0,5.0
37,Multiple triangles and squares form a grey rabbit sitting in a black background and looking back., A rabbit composed of multiple geometric shapes sits under a black background and looks back.,0,5.0
1,There are geometric shapes forming an abstract animal figure.,A pregnant woman wearing a large bow is lying down and stroking her belly.,0,2.0
19,This geometric image looks like a grey rabbit sitting on the ground and looking back.,An animal(maybe a rabbit) made up of various gray geometric shapes is sitting on a black background and looking back.,0,5.0
20,This geometric image looks like a grey rabbit sitting on a black background and looking back.,A rabbit composed of geometric shapes with long standing ears and a square head sits in a black background and looks back.,0,5.0
2,The geometric shapes form an abstract figure of a woman wearing a large bow., A dancing people.,0,2.0
0,A deer is looking back.,There are geometric shapes forming an abstract human figure.,0,2.0
21,This geometric image looks like a grey rabbit sitting in a black background and looking back.,Some grey triangles and quadrilaterals form a rabbit sitting on the groud under black background.,0,4.0
38,Multiple triangles and squares form a rabbit sitting in a black background and looking back.,An animal(maybe a rabbit) made up of various gray geometric shapes is sitting on a black background and looking back.,0,5.0
21,Some grey triangles and quadrilaterals form a rabbit sitting on the groud under black background.,This geometric image looks like a grey rabbit sitting in a black background and looking back.,0,4.0
39,A gray rabbit is sitting under the black background and looking back.,A grey rabbit figure sitting and looking back on a black background,1,5.0
20,Grey triangles and quadrilaterals form a rabbit sitting on the groud under black background., Multiple grey triangles and squares forms a sitting rabbit under black background.,1,5.0
2,This rabbit is composed of various triangles and quadrilaterals.,"Some triangles, squares and parallelograms form a rabbit.",0,5.0
0,This is a rabbit.,A rabbit is sitting against the wall.,0,3.0
19,Grey polygons forms a rabbit sitting on the groud under black background.,Multiple grey triangles and squares forms a sitting rabbit under black background.,0,5.0
38,A gray rabbit consisting of some geometric shapes is sitting under the black background.,"Grey polygons mimic an abstract animal posture like a rabbit with standing ears, looking backward.",0,4.0
37,Some geometric shapes form a gray rabbit sitting under the black background.,A rabbit with long ears composed of gray geometric shapes is sitting on the ground under black background.,1,4.0
1,This is a rabbit sitting on the ground.,a dancing people,0,1.0
21,a grey rabbit figure,"A gray geometric figure resembling a rabbit, composed of triangles and squares, stands under a black background.",0,2.0
19,a grey rabbit figure,"The night was very dark, and a rabbit sat alone, pondering its life.",0,2.0
39,A grey rabbit figure sitting and looking back on a black background,A gray rabbit is sitting under the black background and looking back.,0,2.0
38,A grey rabbit figure sitting and looking back on a black background,A triangular kite with a tail is flying in space.,0,1.0
37,A grey rabbit figure sitting and looking back on a black background,"An abstract rabbit, constructed from gray geometric shapes, sits against a black background.",0,2.0
20,a grey rabbit figure,A grey rabbit composed of gray blocks is sitting on the ground under black background.,0,2.0
0,a rabbit,A tangram-style figure of a rabbit with two upright ears sitting in a black background.,0,2.0
1,a rabbit,Items that slid down the hillside,0,1.0
2,a rabbit,This is a bit like a rabbit?,1,2.0
